base,r01none,r01big,r01mid,r01small,r005none,r005big,r005mid,r005small,y01none,y01big,y01mid,y01small,y005none, y005big,y005mid,y005small
57.84285714,53.25714286,44.68571429,48.6,43.61428571,48.44285714,53.08571429,52.61428571,47.18571429,58.1,58.82857143,58.47142857,46.14285714,59.82857143,57.78571429,54.51428571,56.47142857
52.31428571,51.87142857,43.68571429,47.44285714,42.48571429,47.04285714,51.85714286,51.14285714,45.8,54.18571429,55.04285714,54.5,44.5,56.64285714,52.9,53.32857143,54.05714286
48.34285714,50.14285714,42.15714286,45.85714286,40.98571429,45.61428571,50.1,49.57142857,44.41428571,50.47142857,49.84285714,49.45714286,41.61428571,52.94285714,48,51.82857143,49.97142857
41.98571429,48.8,41.2,44.42857143,39.75714286,44.2,48.51428571,48.04285714,42.97142857,44.61428571,43.2,43.22857143,36.88571429,46.94285714,41.72857143,50.87142857,44.25714286
43.22857143,46.9,39.54285714,42.55714286,38.07142857,42.45714286,46.55714286,46.24285714,41.27142857,43.12857143,42.97142857,42.84285714,34.98571429,44.58571429,42.91428571,49.62857143,42.14285714
41.32857143,45.64285714,38.41428571,41.52857143,37.22857143,40.81428571,45.24285714,45.17142857,40.55714286,40.17142857,41.01428571,40.45714286,32.32857143,41.27142857,40.75714286,48.91428571,38.75714286
42.52857143,43.68571429,36.64285714,39.85714286,35.47142857,38.75714286,43.24285714,43.08571429,38.64285714,41.05714286,41.95714286,41.25714286,34.5,41.98571429,42.2,47.45714286,39.5
42.3,42.37142857,35.72857143,38.81428571,34.61428571,37.41428571,42.38571429,42.14285714,37.78571429,40.61428571,41.67142857,40.85714286,33.77142857,40.9,41.67142857,45.5,38.41428571
40.71428571,40.38571429,33.97142857,37.25714286,33.04285714,35.37142857,40.8,40.55714286,36.18571429,40.17142857,39.71428571,39.42857143,35.01428571,40.85714286,39.64285714,42.38571429,39.12857143
40.62857143,39.3,33.15714286,36.07142857,32.11428571,34.21428571,39.74285714,39.32857143,35.15714286,39.94285714,39.28571429,38.87142857,34.68571429,40.5,39.25714286,38.42857143,38.42857143
40.41428571,37.6,31.61428571,34.58571429,30.8,32.64285714,37.74285714,37.62857143,33.67142857,38.12857143,36.42857143,36.04285714,33.17142857,38.95714286,37.38571429,36.35714286,35.28571429
39.94285714,36.52857143,30.88571429,33.62857143,29.9,31.75714286,36.64285714,36.35714286,32.37142857,37.55714286,35.57142857,35.02857143,32.15714286,38.4,36.48571429,32.84285714,34.18571429
37.78571429,34.6,29.34285714,32.12857143,28.51428571,29.98571429,34.94285714,34.71428571,30.85714286,34.38571429,32.7,31.85714286,29.25714286,34.62857143,33.85714286,33.4,30.35714286
